date,product_id,product_name,category,supplier,lead_time_days,reorder_point,promotion,price,sales_units,stock_available
2024-03-23,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,51,2241
2024-03-24,MED001,Paracetamol,Analgesico,ProvA,4,154,1,5.06,53,2188
2024-03-25,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,36,2152
2024-03-26,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,28,2124
2024-03-27,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,26,2098
2024-03-28,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,30,2068
2024-03-29,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,35,2033
2024-03-30,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,22,2011
2024-03-31,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,44,1967
2024-04-01,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,34,1933
2024-04-02,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,43,1890
2024-04-03,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,32,1858
2024-04-04,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,42,1816
2024-04-05,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,33,1783
2024-04-06,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,35,1748
2024-04-07,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,47,1701
2024-04-08,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,36,1665
2024-04-09,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,29,1636
2024-04-10,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,35,1601
2024-04-11,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,27,1574
2024-04-12,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,28,1546
2024-04-13,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,40,1506
2024-04-14,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,41,1465
2024-04-15,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,42,1423
2024-04-16,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,35,1388
2024-04-17,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,42,1346
2024-04-18,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,31,1315
2024-04-19,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,36,1279
2024-04-20,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,35,1244
2024-04-21,MED001,Paracetamol,Analgesico,ProvA,4,154,1,5.16,40,1204
2024-04-22,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,47,1157
2024-04-23,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,38,1119
2024-04-24,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,39,1080
2024-04-25,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,36,1044
2024-04-26,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,40,1004
2024-04-27,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,36,968
2024-04-28,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,35,933
2024-04-29,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,44,889
2024-04-30,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,33,856
2024-05-01,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,32,824
2024-05-02,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,37,787
2024-05-03,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,38,749
2024-05-04,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,51,698
2024-05-05,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,31,667
2024-05-06,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,50,617
2024-05-07,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,33,584
2024-05-08,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,28,556
2024-05-09,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,30,526
2024-05-10,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,37,489
2024-05-11,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,27,462
2024-05-12,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,38,424
2024-05-13,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,33,391
2024-05-14,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,39,352
2024-05-15,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,36,316
2024-05-16,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,41,275
2024-05-17,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,36,239
2024-05-18,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,34,205
2024-05-19,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,42,163
2024-05-20,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,25,138
2024-05-21,MED001,Paracetamol,Analgesico,ProvA,4,154,1,5.16,31,107
2024-05-22,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,45,62
2024-05-23,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,51,11
2024-05-24,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,35,606
2024-05-25,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,40,1196
2024-05-26,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,27,1799
2024-05-27,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,29,2400
2024-05-28,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,33,2367
2024-05-29,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,35,2332
2024-05-30,MED001,Paracetamol,Analgesico,ProvA,4,154,1,5.16,50,2282
2024-05-31,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,36,2246
2024-06-01,MED001,Paracetamol,Analgesico,ProvA,4,154,1,5.16,38,2208
2024-06-02,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,46,2162
2024-06-03,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,43,2119
2024-06-04,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,38,2081
2024-06-05,MED001,Paracetamol,Analgesico,ProvA,4,154,1,5.16,42,2039
2024-06-06,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,47,1992
2024-06-07,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,31,1961
2024-06-08,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,31,1930
2024-06-09,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,41,1889
2024-06-10,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,40,1849
2024-06-11,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,25,1824
2024-06-12,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,45,1779
2024-06-13,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,27,1752
2024-06-14,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,46,1706
2024-06-15,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,32,1674
2024-06-16,MED001,Paracetamol,Analgesico,ProvA,4,154,1,5.16,40,1634
2024-06-17,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,34,1600
2024-06-18,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,34,1566
2024-06-19,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,30,1536
2024-06-20,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,41,1495
2024-06-21,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,34,1461
2024-06-22,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,28,1433
2024-06-23,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,32,1401
2024-06-24,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,31,1370
2024-06-25,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,43,1327
2024-06-26,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,30,1297
2024-06-27,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,51,1246
2024-06-28,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,25,1221
2024-06-29,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,31,1190
2024-06-30,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.61,43,1147
2024-07-01,MED001,Paracetamol,Analgesico,ProvA,4,154,1,5.26,42,1105
2024-07-02,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,41,1064
2024-07-03,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,37,1027
2024-07-04,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,38,989
2024-07-05,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,31,958
2024-07-06,MED001,Paracetamol,Analgesico,ProvA,4,154,1,5.26,38,920
2024-07-07,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,39,881
2024-07-08,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,44,837
2024-07-09,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,32,805
2024-07-10,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,40,765
2024-07-11,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,47,718
2024-07-12,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,33,685
2024-07-13,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,32,653
2024-07-14,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,37,616
2024-07-15,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,25,591
2024-07-16,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,40,551
2024-07-17,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,24,527
2024-07-18,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,37,490
2024-07-19,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,28,462
2024-07-20,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,34,428
2024-07-21,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,41,387
2024-07-22,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,34,353
2024-07-23,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,34,319
2024-07-24,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,31,288
2024-07-25,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,37,251
2024-07-26,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,34,217
2024-07-27,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,47,170
2024-07-28,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,32,138
2024-07-29,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,44,94
2024-07-30,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,36,58
2024-07-31,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,29,29
2024-08-01,MED001,Paracetamol,Analgesico,ProvA,4,154,1,5.26,38,621
2024-08-02,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,32,1219
2024-08-03,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,33,1816
2024-08-04,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,41,2405
2024-08-05,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,39,2366
2024-08-06,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,37,2329
2024-08-07,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,33,2296
2024-08-08,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,36,2260
2024-08-09,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,40,2220
2024-08-10,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,33,2187
2024-08-11,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,32,2155
2024-08-12,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,39,2116
2024-08-13,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,22,2094
2024-08-14,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,39,2055
2024-08-15,MED001,Paracetamol,Analgesico,ProvA,4,154,1,5.26,43,2012
2024-08-16,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,34,1978
2024-08-17,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,44,1934
2024-08-18,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,33,1901
2024-08-19,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,36,1865
2024-08-20,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,36,1829
2024-08-21,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,30,1799
2024-08-22,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,39,1760
2024-08-23,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,44,1716
2024-08-24,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,35,1681
2024-08-25,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,34,1647
2024-08-26,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,48,1599
2024-08-27,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,48,1551
2024-08-28,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,25,1526
2024-08-29,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,46,1480
2024-08-30,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,41,1439
2024-08-31,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,39,1400
2024-09-01,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,43,1357
2024-09-02,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,30,1327
2024-09-03,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,34,1293
2024-09-04,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,45,1248
2024-09-05,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,32,1216
2024-09-06,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,43,1173
2024-09-07,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,48,1125
2024-09-08,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,39,1086
2024-09-09,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,41,1045
2024-09-10,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,31,1014
2024-09-11,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,37,977
2024-09-12,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,37,940
2024-09-13,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,35,905
2024-09-14,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,32,873
2024-09-15,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,29,844
2024-09-16,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,32,812
2024-09-17,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,37,775
2024-09-18,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,39,736
2024-09-19,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,36,700
2024-09-20,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,50,650
2024-09-21,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,42,608
2024-09-22,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,32,576
2024-09-23,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,36,540
2024-09-24,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,29,511
2024-09-25,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,33,478
2024-09-26,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,41,437
2024-09-27,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,35,402
2024-09-28,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,30,372
2024-09-29,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,37,335
2024-09-30,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.72,31,304
2024-10-01,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,36,268
2024-10-02,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,36,232
2024-10-03,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,33,199
2024-10-04,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,42,157
2024-10-05,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,36,121
2024-10-06,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,32,89
2024-10-07,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,41,48
2024-10-08,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,38,10
2024-10-09,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,37,603
2024-10-10,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,36,1197
2024-10-11,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,37,1790
2024-10-12,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,37,2383
2024-10-13,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,35,2348
2024-10-14,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,40,2308
2024-10-15,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,33,2275
2024-10-16,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,43,2232
2024-10-17,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,44,2188
2024-10-18,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,31,2157
2024-10-19,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,41,2116
2024-10-20,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,33,2083
2024-10-21,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,42,2041
2024-10-22,MED001,Paracetamol,Analgesico,ProvA,4,154,1,5.36,44,1997
2024-10-23,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,24,1973
2024-10-24,MED001,Paracetamol,Analgesico,ProvA,4,154,1,5.36,51,1922
2024-10-25,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,37,1885
2024-10-26,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,33,1852
2024-10-27,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,32,1820
2024-10-28,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,45,1775
2024-10-29,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,29,1746
2024-10-30,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,37,1709
2024-10-31,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,33,1676
2024-11-01,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,38,1638
2024-11-02,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,33,1605
2024-11-03,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,29,1576
2024-11-04,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,29,1547
2024-11-05,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,42,1505
2024-11-06,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,47,1458
2024-11-07,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,34,1424
2024-11-08,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,33,1391
2024-11-09,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,33,1358
2024-11-10,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,25,1333
2024-11-11,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,34,1299
2024-11-12,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,40,1259
2024-11-13,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.83,31,1228
